Aダイヤ 鶴橋駅 下り時刻表,,,,,,,,,,,,,,,,,,,,,,,,
5,普通,準急,普通,準急,普通,普通,準急,,,,,,,,,,,,,,,,,
,7,26,27,43,44,54,55,,,,,,,,,,,,,,,,,
,高安,名張,高安,名張,高安,高安,名張,,,,,,,,,,,,,,,,,
,2,1,2,1,2,2,1,,,,,,,,,,,,,,,,,
6,急行,普通,準急,特急,普通,急行,準急,普通,特急,急行,準急,普通,特急,準急,急行,準急,普通,,,,,,,
,4,5,9,17,18,23,27,28,32,38,42,43,47,49,53,57,58,,,,,,,
,名張,高安,榛原,賢島,高安,五十鈴川,青山町,高安,名古屋,青山町,榛原,高安,鳥羽,榛原,青山町,名張,高安,,,,,,,
,1,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,,,,,,,
7,特急,急行,準急,普通,特急,急行,準急,普通,特急,急行,準急,普通,特急,快急,準急,普通,特急,快急,準急,普通,特急,快急,準急,
,2,5,9,10,12,15,19,20,22,25,29,30,32,35,39,40,42,45,49,50,52,55,59,
,名古屋,五十鈴川,榛原,高安,賢島,中川,青山町,高安,賢島,青山町,名張,高安,名古屋,五十鈴川,名張,高安,鳥羽,名張,榛原,高安,五十鈴川,青山町,名張,
,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,
8,普通,特急,快急,準急,普通,特急,快急,準急,普通,特急,急行,準急,普通,特急,急行,準急,普通,特急,快急,準急,普通,特急,急行,準急
,0,2,5,9,10,12,15,19,20,22,25,29,30,32,35,39,40,42,45,49,50,52,55,59
,高安,名古屋,五十鈴川,名張,高安,賢島,五十鈴川,名張,高安,賢島,青山町,榛原,高安,名古屋,青山町,大和八木,高安,鳥羽,名張,五位堂,高安,五十鈴川,青山町,名張
,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1
9,普通,特急,急行,準急,普通,特急,準急,普通,急行,準急,普通,特急,急行,普通,準急,特急,普通,急行,準急,,,,,
,0,2,7,9,10,17,19,20,23,27,30,32,38,40,42,47,51,53,57,,,,,
,高安,名古屋,五十鈴川,榛原,高安,賢島,五位堂,高安,五十鈴川,名張,高安,名古屋,名張,高安,榛原,賢島,高安,青山町,名張,,,,,
,2,1,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,,,,,
10,普通,特急,急行,準急,普通,特急,普通,急行,準急,普通,特急,急行,準急,普通,特急,普通,急行,準急,,,,,,
,1,2,8,12,13,17,21,23,27,31,32,38,42,43,47,51,53,57,,,,,,
,高安,名古屋,五十鈴川,榛原,高安,賢島,高安,五十鈴川,名張,高安,名古屋,名張,榛原,五位堂,賢島,高安,青山町,名張,,,,,,
,2,1,1,1,2,1,2,1,1,2,1,1,1,2,1,2,1,1,,,,,,
11,普通,特急,急行,準急,普通,特急,普通,急行,準急,普通,特急,急行,準急,普通,特急,普通,急行,準急,,,,,,
,1,2,8,12,13,17,21,23,27,31,32,38,42,43,47,51,53,57,,,,,,
,高安,名古屋,五十鈴川,榛原,高安,賢島,高安,五十鈴川,名張,高安,名古屋,名張,榛原,五位堂,賢島,高安,青山町,名張,,,,,,
,2,1,1,1,2,1,2,1,1,2,1,1,1,2,1,2,1,1,,,,,,
12,普通,特急,急行,準急,普通,特急,普通,急行,準急,普通,特急,急行,準急,普通,特急,普通,急行,準急,,,,,,
,1,2,8,12,13,17,21,23,27,31,32,38,42,43,47,51,53,57,,,,,,
,高安,名古屋,五十鈴川,榛原,高安,賢島,高安,五十鈴川,名張,高安,名古屋,名張,榛原,五位堂,賢島,高安,青山町,名張,,,,,,
,2,1,1,1,2,1,2,1,1,2,1,1,1,2,1,2,1,1,,,,,,
13,普通,特急,急行,準急,普通,特急,普通,急行,準急,普通,特急,急行,準急,普通,特急,普通,急行,準急,,,,,,
,1,2,8,12,13,17,21,23,27,31,32,38,42,43,47,51,53,57,,,,,,
,高安,名古屋,五十鈴川,榛原,高安,賢島,高安,五十鈴川,名張,高安,名古屋,名張,榛原,五位堂,賢島,高安,青山町,名張,,,,,,
,2,1,1,1,2,1,2,1,1,2,1,1,1,2,1,2,1,1,,,,,,
14,普通,特急,急行,準急,普通,特急,普通,急行,準急,普通,特急,急行,準急,普通,特急,普通,急行,準急,,,,,,
,1,2,8,12,13,17,21,23,27,31,32,38,42,43,47,51,53,57,,,,,,
,高安,名古屋,五十鈴川,榛原,高安,賢島,高安,五十鈴川,名張,高安,名古屋,名張,榛原,五位堂,賢島,高安,青山町,名張,,,,,,
,2,1,1,1,2,1,2,1,1,2,1,1,1,2,1,2,1,1,,,,,,
15,普通,特急,急行,準急,普通,特急,普通,急行,準急,普通,特急,急行,準急,普通,特急,普通,急行,準急,,,,,,
,1,2,8,12,13,17,21,23,27,31,32,38,42,43,47,51,53,57,,,,,,
,高安,名古屋,五十鈴川,榛原,高安,賢島,高安,五十鈴川,名張,高安,名古屋,名張,名張,五位堂,賢島,高安,青山町,名張,,,,,,
,2,1,1,1,2,1,2,1,1,2,1,1,1,2,1,2,1,1,,,,,,
16,普通,特急,急行,準急,普通,特急,普通,急行,準急,普通,特急,準急,急行,準急,普通,特急,準急,普通,急行,準急,,,,
,1,2,8,12,13,17,21,23,27,31,32,35,38,42,43,47,50,51,53,59,,,,
,高安,名古屋,五十鈴川,名張,高安,賢島,高安,五十鈴川,名張,高安,名古屋,榛原,青山町,名張,高安,五十鈴川,榛原,高安,青山町,名張,,,,
,2,1,1,1,2,1,2,1,1,2,1,1,1,1,2,1,1,2,1,1,,,,
17,普通,特急,急行,準急,普通,特急,急行,準急,普通,特急,急行,準急,普通,特急,急行,準急,普通,特急,快急,準急,普通,特急,急行,準急
,1,2,5,9,10,12,15,19,20,22,25,29,30,32,35,39,40,42,45,49,50,52,55,59
,高安,名古屋,五十鈴川,榛原,五位堂,賢島,五十鈴川,名張,高安,賢島,青山町,名張,高安,名古屋,青山町,名張,高安,鳥羽,宇治山田,榛原,高安,五十鈴川,青山町,青山町
,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1
18,普通,特急,快急,準急,普通,特急,快急,準急,普通,特急,快急,準急,普通,特急,快急,準急,普通,特急,快急,準急,普通,特急,快急,準急
,1,2,5,9,11,12,15,19,21,22,25,29,31,32,35,39,40,42,45,49,50,52,55,59
,高安,名古屋,五十鈴川,榛原,高安,賢島,五十鈴川,名張,高安,賢島,青山町,名張,高安,名古屋,松阪,名張,高安,松阪,五十鈴川,榛原,高安,五十鈴川,青山町,名張
,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1
19,普通,特急,快急,準急,普通,特急,快急,準急,普通,特急,快急,準急,普通,特急,快急,準急,普通,特急,快急,準急,普通,特急,快急,準急
,1,2,5,9,11,12,15,19,21,22,25,29,31,32,35,39,40,42,45,49,50,52,55,59
,高安,名古屋,宇治山田,榛原,高安,鳥羽,鳥羽,名張,高安,賢島,青山町,名張,高安,名古屋,青山町,名張,高安,松阪,五十鈴川,榛原,高安,五十鈴川,青山町,名張
,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1
20,普通,特急,快急,準急,普通,特急,快急,準急,普通,特急,急行,準急,普通,特急,急行,準急,普通,特急,快急,準急,普通,特急,急行,準急
,1,2,5,9,11,12,15,19,21,22,25,29,30,32,35,39,40,42,45,49,50,52,55,59
,高安,名古屋,名張,榛原,高安,鳥羽,宇治山田,榛原,高安,賢島,青山町,榛原,高安,名古屋,青山町,名張,高安,松阪,五十鈴川,榛原,高安,宇治山田,青山町,名張
,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1
21,普通,特急,急行,準急,普通,特急,急行,準急,普通,特急,急行,準急,普通,特急,急行,準急,普通,特急,急行,準急,普通,特急,急行,準急
,1,2,5,9,10,12,15,19,20,22,25,29,30,32,35,39,40,42,45,49,50,52,55,59
,高安,名古屋,名張,榛原,五位堂,宇治山田,宇治山田,名張,高安,宇治山田,青山町,榛原,高安,名古屋,青山町,五位堂,高安,松阪,榛原,名張,高安,宇治山田,青山町,五位堂
,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1
22,普通,特急,急行,準急,普通,特急,準急,普通,急行,準急,普通,特急,急行,準急,普通,特急,普通,急行,準急,,,,,
,1,2,8,12,13,17,19,21,22,27,31,32,38,42,43,47,51,53,59,,,,,
,高安,松阪,五十鈴川,榛原,高安,宇治山田,五位堂,高安,青山町,榛原,高安,松阪,名張,榛原,高安,宇治山田,高安,青山町,名張,,,,,
,2,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1,2,1,1,,,,,
23,普通,特急,急行,準急,普通,特急,急行,準急,普通,急行,準急,普通,急行,,,,,,,,,,,
,1,2,8,12,13,17,23,29,30,38,46,47,53,,,,,,,,,,,
,高安,青山町,大和八木,榛原,高安,名張,青山町,大和八木,高安,榛原,大和八木,高安,大和八木,,,,,,,,,,,
,2,1,1,1,2,1,1,1,2,1,1,2,1,,,,,,,,,,,
0,準急,普通,準急,普通,,,,,,,,,,,,,,,,,,,,
,2,3,18,19,,,,,,,,,,,,,,,,,,,,
,五位堂,高安,五位堂,高安,,,,,,,,,,,,,,,,,,,,
,1,2,1,2,,,,,,,,,,,,,,,,,,,,
